dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6635085481223741,0.002561243358965319,0.6614299724336459,0.6655137693901896,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.7180227604746475,0.0029944450782016835,0.7154590428620085,0.7203074887962327,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6957886764619369,0.004048393855044294,0.6930416796716699,0.6993980191949214,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.683078999795225,0.007243807906213604,0.677129839343338,0.6895613519952387,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6783581022714416,0.013241632018800442,0.668478471402457,0.6884963763431516,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6763267276857817,0.010737118481442915,0.667628924377995,0.6848606989523626,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.6743330679693311,0.01141863961829501,0.6651310500304184,0.6841580714184767,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7874991091518592,0.022067852245887656,0.7675594767377161,0.7977213104976402,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7471019745291748,0.01889128687321323,0.7301168637636418,0.7621530980173054,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7027655987509451,0.015471413415684896,0.6887953229710385,0.7151709008789956,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7924381403626047,0.005388672840876128,0.7876042649616755,0.7958081617124713,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.752485572309429,0.00807436093870568,0.7438994151224665,0.7617770767337525,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7083364187485518,0.007087170510339845,0.7007408664722492,0.7163109864156615,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8465935467722904,0.0053034952490293285,0.8422065007904251,0.8503677868931181,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.803766297518888,0.0071095014015194885,0.7961970935055168,0.8116412819409551,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7610981515996775,0.007221715475061981,0.753951849991463,0.7687278860049757,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8029645568206764,0.013371933367305845,0.792540278245698,0.8129117892532464,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7608750775085522,0.012318454726559238,0.7493648927144915,0.7731776915237752,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7158725176302182,0.010521598238835694,0.7058380589571875,0.7260124560578436,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.41124348128035465,0.04204684441298214,0.3733650626072927,0.43209180460633795,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.37130094089995846,0.03405422426841607,0.33922283493650335,0.3947207499879764,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.3253115521787414,0.028725531123275267,0.2984401502607106,0.3455023870095028,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
