dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs
yelpchi,s0,noise_edges_uniform,secgfd,train_clean_eval_all,average_precision,0.2,False,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,0.46461180290987897,0.005790423914188415,0.4605259655120113,0.4688468949188555,0.008965833814399082,0.0025549301741528874,0.0036577120716655615,0.013684455895223147,3,6
yelpchi,s0,noise_edges_uniform,mlp,train_clean_eval_all,f1_macro,0.2,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,0.0,0.013579230163254427,-0.027204634887856516,0.027191341201662993,3,6
yelpchi,s0,noise_edges_uniform,sage,train_clean_eval_all,f1_macro,0.2,False,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,0.6651962157705774,0.004419386457453616,0.6618154927238729,0.6684357771763022,0.005651254965725938,0.0032916120494883264,-0.0010863229132386824,0.011541674459814204,3,6
yelpchi,s0,noise_edges_uniform,pmp,train_clean_eval_all,f1_macro,0.2,False,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.7010917824084179,0.004315547707058778,0.6976305932181,0.7040367010274171,0.01857214153295017,0.0018612563280720746,0.015080660999902754,0.022319520400103432,3,6
yelpchi,s0,noise_edges_uniform,secgfd,train_clean_eval_all,f1_macro,0.2,False,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,0.6871756133139174,0.0035579332475168227,0.6845679497209657,0.6896523889406135,0.0019071794932291608,0.002070040891067549,-0.0023468657912373682,0.005715862650714519,3,6
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,roc_auc,0.3,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,0.0,0.016581382061336334,-0.03323272069023864,0.03323272069023864,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,roc_auc,0.3,True,0.7920125055070611,0.007535288614832577,0.7833152908795443,0.7965834139701758,0.89709188658706,0.010042715900572272,0.8889883146607752,0.9037213112757428,-0.10507938107999881,0.0052424429990039125,-0.11598353253317074,-0.09544754085697939,3,6
yelpchi,s0,heterophily_rewire_oracle,pmp,train_on_variant,roc_auc,0.3,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.8876986234061915,0.022210660419921625,0.8710222221691577,0.9030222197852259,-0.038504846531478565,0.00833302501929388,-0.054620370781476635,-0.02166241079251558,3,6
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_on_variant,roc_auc,0.3,True,0.812236381996699,0.002775689259910157,0.8091323081942022,0.8144797908955509,0.9999999086920356,2.2365792257787643e-07,0.9999997260761063,1.0,-0.18776352669533658,0.001304807411950207,-0.19086760049783313,-0.1855202091044491,3,6
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,average_precision,0.3,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,0.0,0.031495276208567,-0.06313069778843666,0.06313069778843666,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,average_precision,0.3,True,0.42933223790816294,0.015305932257955186,0.41174500720513746,0.4396386484983097,0.6531908921977775,0.034362608448702286,0.6257523953135662,0.6758610381286353,-0.22385865428961454,0.014707078955769056,-0.2521335189662471,-0.19464637014143812,3,6
yelpchi,s0,heterophily_rewire_oracle,pmp,train_on_variant,average_precision,0.3,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.6018050284232713,0.056712205817419516,0.5603227334071696,0.6418640836628297,-0.03407976463628648,0.021642694559554906,-0.07612664837803633,0.00729754364510276,3,6
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_on_variant,average_precision,0.3,True,0.4704254705348501,0.002193142349121461,0.4690530393091248,0.4729548350189385,0.9999994655961107,1.309016845271182e-06,0.9999983967883321,1.0,-0.5295739950612606,0.0010323719603978468,-0.530946426286986,-0.5270451649810615,3,6
yelpchi,s0,heterophily_rewire_oracle,mlp,train_on_variant,f1_macro,0.3,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,0.0,0.013579230163254427,-0.027204634887856516,0.027191341201662993,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_on_variant,f1_macro,0.3,True,0.6708518031464994,0.004795489526380665,0.6653245800672882,0.673905369117186,0.7696187377514736,0.012311150437296582,0.7598928459557369,0.7781106732514116,-0.09876693460497421,0.005096531192434826,-0.10859409109876107,-0.08901743785823987,3,6
