dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,f1_macro,True,0.17799439249611565,0.0006760630499370674,0.1767016540318487,0.1792617036034994,0.5933146416537188,0.002253543499790225,0.5890055134394957,0.5975390120116647,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,False,0.23438119901680854,0.001940017183535165,0.23064251793915666,0.23811028844090715,0.7812706633893618,0.006466723945117217,0.7688083931305222,0.7937009614696905,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,False,0.2365668032252704,0.00046721086203029965,0.23567491063798682,0.23743053484336937,0.7885560107509014,0.0015573695401009983,0.7855830354599561,0.7914351161445646,3
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,False,0.24962057640304294,0.0002821481398095533,0.2490726619586335,0.25015449241348725,0.8320685880101432,0.000940493799365179,0.8302422065287783,0.8338483080449576,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,False,0.24309312618597134,0.00024056791513936952,0.2426172809095364,0.24353438810562072,0.8103104206199045,0.0008018930504645637,0.8087242696984548,0.8117812936854024,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,False,0.11981393765084285,0.003685234815723423,0.11271173414964372,0.1268875864497499,0.39937979216947617,0.01228411605241141,0.3757057804988124,0.42295862149916635,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,0.1266337314134259,0.0010220044115508246,0.12470764170356322,0.12850992182034215,0.422112438044753,0.003406681371836082,0.4156921390118774,0.42836640606780724,3
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,0.15684568457159193,0.0006457519861814276,0.15557365485213617,0.1580438603849421,0.5228189485719731,0.0021525066206047583,0.5185788495071207,0.526812867949807,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,0.1395853731349176,0.0003943003294020349,0.13883903604577003,0.14032168246570434,0.465284577116392,0.0013143344313401172,0.4627967868192335,0.4677389415523478,3
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,0.19595529927795677,0.0015884970215316108,0.19289372969704613,0.19901377552034932,0.6531843309265226,0.005294990071772036,0.6429790989901539,0.6633792517344977,3
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,0.19975078334488466,0.0003121600300980726,0.1991221206217991,0.2003565982995665,0.6658359444829489,0.0010405334336602446,0.6637404020726637,0.6678553276652216,3
