dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.23186496223986344,0.0,0.23186496223986344,0.23186496223986344,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,n_rewired_edges_actual,Rewired edges,edges,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,realized_change,Realized change,edges_changed,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_clean_eval_all,requested_change,Requested change,edges_selected,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.45874498282772025,0.0,0.45874498282772025,0.45874498282772025,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.22688002058785683,0.0,0.22688002058785683,0.22688002058785683,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.23186496223986344,0.0,0.23186496223986344,0.23186496223986344,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,n_rewired_edges_actual,Rewired edges,edges,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,realized_change,Realized change,edges_changed,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,heterophily_rewire_oracle,0.3,train_on_variant,requested_change,Requested change,edges_selected,True,heterograph_aware_generation,2415404.0,0.0,2415404.0,2415404.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,heterograph_aware_generation,0.22879942506551743,0.0,0.22879942506551743,0.22879942506551743,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,heterograph_aware_generation,0.0019194111227989197,0.0,0.0019194111227989197,0.0019194111227989197,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,n_added_edge_pairs_actual,Added edge pairs,edges,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,realized_change,Realized change,edges_added,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_clean_eval_all,requested_change,Requested change,edges_requested,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,False,heterograph_aware_generation,0.22879942506551743,0.0,0.22879942506551743,0.22879942506551743,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,False,heterograph_aware_generation,0.0019194111227989197,0.0,0.0019194111227989197,0.0019194111227989197,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,n_added_edge_pairs_actual,Added edge pairs,edges,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,realized_change,Realized change,edges_added,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.1,train_on_variant,requested_change,Requested change,edges_requested,False,heterograph_aware_generation,805134.0,0.0,805134.0,805134.0,1,scenario
yelpchi,noise_edges_uniform,0.2,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,False,heterograph_aware_generation,0.23040692508220673,0.0,0.23040692508220673,0.23040692508220673,1,scenario
yelpchi,noise_edges_uniform,0.2,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,noise_edges_uniform,0.2,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,False,heterograph_aware_generation,0.00352691113948822,0.0,0.00352691113948822,0.00352691113948822,1,scenario
