dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,f1_macro,False,0.2127802466797992,0.0,0.2127802466797992,0.2127802466797992,0.709267488932664,0.0,0.709267488932664,0.709267488932664,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_on_variant,roc_auc,False,0.251734943130065,0.0,0.251734943130065,0.251734943130065,0.8391164771002168,0.0,0.8391164771002168,0.8391164771002168,1
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,0.1266337314134259,0.0,0.1266337314134259,0.1266337314134259,0.422112438044753,0.0,0.422112438044753,0.422112438044753,1
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,0.19975078334488466,0.0,0.19975078334488466,0.19975078334488466,0.6658359444829489,0.0,0.6658359444829489,0.6658359444829489,1
yelpchi,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,False,0.2365668032252704,0.0,0.2365668032252704,0.2365668032252704,0.7885560107509014,0.0,0.7885560107509014,0.7885560107509014,1
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,average_precision,False,0.10596965173555084,0.0,0.10596965173555084,0.10596965173555084,0.35323217245183613,0.0,0.35323217245183613,0.35323217245183613,1
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,f1_macro,False,0.18902115820695725,0.0,0.18902115820695725,0.18902115820695725,0.6300705273565242,0.0,0.6300705273565242,0.6300705273565242,1
yelpchi,heterophily_rewire_nonoracle,sage,train_on_variant,roc_auc,False,0.22072503161677218,0.0,0.22072503161677218,0.22072503161677218,0.7357501053892406,0.0,0.7357501053892406,0.7357501053892406,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,0.1395853731349176,0.0,0.1395853731349176,0.1395853731349176,0.465284577116392,0.0,0.465284577116392,0.465284577116392,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,0.20607884738528975,0.0,0.20607884738528975,0.20607884738528975,0.6869294912842993,0.0,0.6869294912842993,0.6869294912842993,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,False,0.24309312618597134,0.0,0.24309312618597134,0.24309312618597134,0.8103104206199045,0.0,0.8103104206199045,0.8103104206199045,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,average_precision,False,0.14284817588910032,0.0,0.14284817588910032,0.14284817588910032,0.4761605862970011,0.0,0.4761605862970011,0.4761605862970011,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,f1_macro,False,0.207686507430719,0.0,0.207686507430719,0.207686507430719,0.6922883581023968,0.0,0.6922883581023968,0.6922883581023968,1
yelpchi,heterophily_rewire_nonoracle,secgfd,train_on_variant,roc_auc,False,0.2447390038552763,0.0,0.2447390038552763,0.2447390038552763,0.8157966795175877,0.0,0.8157966795175877,0.8157966795175877,1
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,True,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,True,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,True,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,average_precision,True,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1
yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,f1_macro,True,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1
yelpchi,heterophily_rewire_oracle,mlp,train_on_variant,roc_auc,True,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1
